"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"genes";"signal"
"mt-Nd4";1,14308679107557e-192;-0,522235285672042;0,973;0,991;2,33304014058523e-188;"Enterocytes";"mt-Nd4";"Upregulated_yMB"
"Pigr";5,73719448259206e-166;-0,745862284312956;0,589;0,84;1,17096139389704e-161;"Enterocytes";"Pigr";"Upregulated_yMB"
"mt-Nd6";1,34754894249912e-165;-2,09732108301477;0,204;0,499;2,75034739164069e-161;"Enterocytes";"mt-Nd6";"Upregulated_yMB"
"mt-Nd5";3,67527001483094e-153;-0,746990733769265;0,633;0,877;7,50122610026994e-149;"Enterocytes";"mt-Nd5";"Upregulated_yMB"
"mt-Nd4l";6,69968317908606e-146;-0,837302381876507;0,52;0,803;1,36740533685146e-141;"Enterocytes";"mt-Nd4l";"Upregulated_yMB"
"mt-Nd2";2,91619352643415e-130;-0,439027409111458;0,914;0,981;5,95195098745211e-126;"Enterocytes";"mt-Nd2";"Upregulated_yMB"
"Sis";3,34174876373379e-121;-0,648580241534175;0,569;0,81;6,82050922678067e-117;"Enterocytes";"Sis";"Upregulated_yMB"
"Mgam";1,20283376872118e-117;-0,753694928915297;0,338;0,637;2,45498372195994e-113;"Enterocytes";"Mgam";"Upregulated_yMB"
"Mt1";1,31561822015551e-107;-0,728984157445875;0,352;0,638;2,68517678733739e-103;"Enterocytes";"Mt1";"Upregulated_yMB"
"Papss2";7,5377354460855e-100;-0,736071151597412;0,29;0,544;1,53845180454605e-95;"Enterocytes";"Papss2";"Upregulated_yMB"
"Gm42418";8,81247097836235e-100;-0,205983135393657;0,905;0,975;1,79862532668376e-95;"Enterocytes";"Gm42418";"Upregulated_yMB"
"Slc5a1";8,72336406930785e-97;-0,584610352116063;0,421;0,698;1,78043860654573e-92;"Enterocytes";"Slc5a1";"Upregulated_yMB"
"Mme";8,12062348364643e-95;-0,802512569733383;0,251;0,493;1,65741925301224e-90;"Enterocytes";"Mme";"Upregulated_yMB"
"Slc2a2";8,75945967355456e-91;-0,724432789367393;0,104;0,314;1,78780571937249e-86;"Enterocytes";"Slc2a2";"Upregulated_yMB"
"Chpt1";1,2774373019711e-90;-0,585932013747231;0,165;0,408;2,60724953332302e-86;"Enterocytes";"Chpt1";"Upregulated_yMB"
"mt-Atp8";6,61439043384614e-85;-0,77209587338812;0,284;0,524;1,349997087548e-80;"Enterocytes";"mt-Atp8";"Upregulated_yMB"
"mt-Co1";1,4649000858385e-84;-0,292949747625895;0,996;0,999;2,98986107519637e-80;"Enterocytes";"mt-Co1";"Upregulated_yMB"
"Actb";1,57184661561418e-84;-0,271240980215659;0,963;0,992;3,20813894246855e-80;"Enterocytes";"Actb";"Upregulated_yMB"
"Sephs2";5,60040644964751e-79;-0,701523705800862;0,222;0,443;1,14304295637306e-74;"Enterocytes";"Sephs2";"Upregulated_yMB"
"mt-Nd1";7,12220649473645e-78;-0,308192760478938;0,958;0,988;1,45364234557571e-73;"Enterocytes";"mt-Nd1";"Upregulated_yMB"
"Fam213a";5,13078828321003e-74;-0,738874788485305;0,184;0,39;1,04719388860317e-69;"Enterocytes";"Fam213a";"Upregulated_yMB"
"Gsta1";1,74362821746539e-72;-0,258091832802675;0,539;0,768;3,55874519184687e-68;"Enterocytes";"Gsta1";"Upregulated_yMB"
"Tkfc";9,78069075829118e-70;-0,521780819923249;0,236;0,452;1,99623898376723e-65;"Enterocytes";"Tkfc";"Upregulated_yMB"
"Atp1b1";3,44698825642366e-67;-0,40781216798583;0,478;0,689;7,03530303136069e-63;"Enterocytes";"Atp1b1";"Upregulated_yMB"
"Slc4a7";2,1472465955904e-66;-1,08143145894906;0,048;0,19;4,3825303016e-62;"Enterocytes";"Slc4a7";"Upregulated_yMB"
"Gm766";2,78545816191282e-66;-0,357811919542422;0,085;0,261;5,68512010846407e-62;"Enterocytes";"Gm766";"Upregulated_yMB"
"Atp1a1";4,39496138815526e-64;-0,335070035207407;0,462;0,68;8,97011619322489e-60;"Enterocytes";"Atp1a1";"Upregulated_yMB"
"Nme7";1,05762096565791e-63;-1,43004553090112;0,047;0,183;2,15860439090779e-59;"Enterocytes";"Nme7";"Upregulated_yMB"
"Hbb-bs";1,1529195520107e-62;-2,5764826439203;0,073;0,22;2,35310880565383e-58;"Enterocytes";"Hbb-bs";"Upregulated_yMB"
"Fabp1";1,84196610848179e-62;-0,306151647379258;0,941;0,98;3,75945282741134e-58;"Enterocytes";"Fabp1";"Upregulated_yMB"
"Kdelr2";1,20225104858091e-60;-0,488202445456708;0,151;0,326;2,45379439015364e-56;"Enterocytes";"Kdelr2";"Upregulated_yMB"
"AY036118";3,48836194367491e-60;-0,262951551239027;0,703;0,891;7,11974672704049e-56;"Enterocytes";"AY036118";"Upregulated_yMB"
"Slc13a1";1,98219036970266e-58;-0,822471333752144;0,069;0,21;4,04565054456313e-54;"Enterocytes";"Slc13a1";"Upregulated_yMB"
"Ces1f";6,95662122620681e-58;-0,314643188775623;0,096;0,257;1,41984639226881e-53;"Enterocytes";"Ces1f";"Upregulated_yMB"
"Gsta4";2,33810687969648e-57;-0,19974772790417;0,172;0,374;4,77207614146051e-53;"Enterocytes";"Gsta4";"Upregulated_yMB"
"Ugt2b34";4,53047310450741e-57;-0,394659743886241;0,23;0,415;9,24669560629963e-53;"Enterocytes";"Ugt2b34";"Upregulated_yMB"
"Gm26917";3,39585700943715e-55;-0,60288146157968;0,164;0,328;6,93094415626123e-51;"Enterocytes";"Gm26917";"Upregulated_yMB"
"Cd81";2,89763332580954e-54;-0,394656042049746;0,098;0,253;5,91406961797727e-50;"Enterocytes";"Cd81";"Upregulated_yMB"
"Aldob";5,06909401207475e-54;-0,294818218734471;0,832;0,946;1,03460208786446e-49;"Enterocytes";"Aldob";"Upregulated_yMB"
"Pgam1";4,04016049909786e-53;-0,274050605570139;0,23;0,429;8,24596757865873e-49;"Enterocytes";"Pgam1";"Upregulated_yMB"
"Ckb";1,18051504688839e-52;-0,225676667132593;0,286;0,507;2,4094312106992e-48;"Enterocytes";"Ckb";"Upregulated_yMB"
"Muc13";2,05585465115666e-52;-0,33027993053878;0,424;0,664;4,19599934301075e-48;"Enterocytes";"Muc13";"Upregulated_yMB"
"Adh6a";3,06975676888907e-52;-0,288199014307077;0,503;0,723;6,2653735653026e-48;"Enterocytes";"Adh6a";"Upregulated_yMB"
"Aadac";4,49549225493927e-51;-0,272038721942839;0,103;0,255;9,17529969233105e-47;"Enterocytes";"Aadac";"Upregulated_yMB"
"Gzma";1,49109155513177e-50;-2,11627732463858;0,098;0,225;3,04331786402395e-46;"Enterocytes";"Gzma";"Upregulated_yMB"
"Mttp";1,98628394722909e-50;-0,361022889653102;0,376;0,577;4,05400553629457e-46;"Enterocytes";"Mttp";"Upregulated_yMB"
"Tm4sf20";5,67947198317038e-50;-0,242941402194608;0,325;0,535;1,15918023176507e-45;"Enterocytes";"Tm4sf20";"Upregulated_yMB"
"Pkm";5,95119847902602e-50;-0,314300471335029;0,411;0,618;1,21463960956921e-45;"Enterocytes";"Pkm";"Upregulated_yMB"
"Chchd10";8,05562780162589e-49;-0,170297624237403;0,413;0,652;1,64415363431184e-44;"Enterocytes";"Chchd10";"Upregulated_yMB"
"Pim1";2,41466754557122e-47;-0,621813743154382;0,128;0,266;4,92833646051085e-43;"Enterocytes";"Pim1";"Upregulated_yMB"
"Fbp1";3,84091466332666e-47;-0,571644346236256;0,057;0,178;7,83930682784971e-43;"Enterocytes";"Fbp1";"Upregulated_yMB"
"Abhd2";3,13524627775051e-46;-0,623955123125839;0,208;0,366;6,3990376528888e-42;"Enterocytes";"Abhd2";"Upregulated_yMB"
"Ccl5";5,91889197499164e-46;-2,0023765277601;0,072;0,187;1,20804585209579e-41;"Enterocytes";"Ccl5";"Upregulated_yMB"
"Eno1";7,11753069985792e-46;-0,323765294661071;0,284;0,474;1,452688015841e-41;"Enterocytes";"Eno1";"Upregulated_yMB"
"Ak2";1,73857117211806e-45;-0,273126451436224;0,311;0,5;3,54842376229296e-41;"Enterocytes";"Ak2";"Upregulated_yMB"
"Acaa2";2,87159761083661e-45;-0,126972318015147;0,204;0,385;5,86093072371752e-41;"Enterocytes";"Acaa2";"Upregulated_yMB"
"Marc2";2,24024687575022e-44;-0,220275945109615;0,465;0,653;4,5723438734062e-40;"Enterocytes";"Marc2";"Upregulated_yMB"
"Abcc2";2,83654628473209e-44;-0,382266539029382;0,183;0,336;5,78939096713819e-40;"Enterocytes";"Abcc2";"Upregulated_yMB"
"Rdh7";4,08883686721541e-44;-0,132364721006897;0,105;0,246;8,34531604598666e-40;"Enterocytes";"Rdh7";"Upregulated_yMB"
"Fahd1";1,61109742900235e-43;-0,31499018302648;0,208;0,378;3,28824985259379e-39;"Enterocytes";"Fahd1";"Upregulated_yMB"
"Nat8";2,45108663817757e-43;-0,57737230080335;0,082;0,202;5,00266782852041e-39;"Enterocytes";"Nat8";"Upregulated_yMB"
