"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"Genes";"signal"
"Rps15a";3,67034704948614e-151;-0,461475481937141;0,983;0,992;7,49117832800121e-147;"Bcells";"Rps15a";"Upregulated_yMB"
"Rps27";4,38311440586885e-149;-0,375710637935001;0,989;0,994;8,94593650237833e-145;"Bcells";"Rps27";"Upregulated_yMB"
"Cd74";3,04153320137003e-124;-0,350338589427985;1;0,999;6,20776926399623e-120;"Bcells";"Cd74";"Upregulated_yMB"
"Rpl13";1,38282161708787e-122;-0,417322796093906;0,987;0,995;2,82233892047635e-118;"Bcells";"Rpl13";"Upregulated_yMB"
"Rps7";2,51793501271976e-119;-0,455224628872968;0,976;0,994;5,13910536096103e-115;"Bcells";"Rps7";"Upregulated_yMB"
"Rps29";1,06283114603519e-117;-0,316683621620459;0,994;0,994;2,16923836905781e-113;"Bcells";"Rps29";"Upregulated_yMB"
"Rpl35";5,15115106897746e-115;-0,595910059724069;0,907;0,977;1,0513499331783e-110;"Bcells";"Rpl35";"Upregulated_yMB"
"Rpl21";6,41402314337229e-107;-0,406272895556271;0,981;0,994;1,30910212356228e-102;"Bcells";"Rpl21";"Upregulated_yMB"
"Rpl10";1,90125207812804e-104;-0,504931828314897;0,949;0,983;3,88045549145933e-100;"Bcells";"Rpl10";"Upregulated_yMB"
"Uba52";1,16213959465742e-103;-0,871536734797287;0,466;0,804;2,37192691269579e-99;"Bcells";"Uba52";"Upregulated_yMB"
"Tpt1";2,0306216857022e-103;-0,297464890033625;0,995;0,997;4,14449886051819e-99;"Bcells";"Tpt1";"Upregulated_yMB"
"Tmsb10";4,42715256294165e-97;-0,555591126867536;0,915;0,976;9,03581838096391e-93;"Bcells";"Tmsb10";"Upregulated_yMB"
"Rpl34";2,15368991397002e-96;-0,37188584158665;0,977;0,991;4,39568111441281e-92;"Bcells";"Rpl34";"Upregulated_yMB"
"Rpl6";5,98553288142653e-91;-0,442504782656099;0,958;0,991;1,22164726109916e-86;"Bcells";"Rpl6";"Upregulated_yMB"
"H2-Eb1";4,41164461600802e-87;-0,397182980313944;0,981;0,995;9,00416666127238e-83;"Bcells";"H2-Eb1";"Upregulated_yMB"
"Rpl15";1,09870716809562e-85;-0,739021176356402;0,626;0,878;2,24246133008317e-81;"Bcells";"Rpl15";"Upregulated_yMB"
"Rpl26";9,29709543245771e-85;-0,363856042569853;0,973;0,992;1,89753717776462e-80;"Bcells";"Rpl26";"Upregulated_yMB"
"Fau";3,25078922587528e-84;-0,272694249817069;0,991;0,994;6,63486081001144e-80;"Bcells";"Fau";"Upregulated_yMB"
"Rpl32";6,28770361755875e-84;-0,368266070996127;0,981;0,99;1,28332030834374e-79;"Bcells";"Rpl32";"Upregulated_yMB"
"Tmsb4x";1,36537488134032e-83;-0,364356760894047;0,994;0,995;2,78673013281559e-79;"Bcells";"Tmsb4x";"Upregulated_yMB"
"H2-Aa";3,87751029868493e-83;-0,348776286637207;0,983;0,995;7,91399851961593e-79;"Bcells";"H2-Aa";"Upregulated_yMB"
"Rps24";2,67424602188515e-72;-0,226124832173309;0,993;0,999;5,4581361306676e-68;"Bcells";"Rps24";"Upregulated_yMB"
"Rpl29";4,11433258110829e-72;-0,541224043517231;0,812;0,946;8,39735279804203e-68;"Bcells";"Rpl29";"Upregulated_yMB"
"Rpl17";5,46361201062441e-69;-0,287024760003972;0,987;0,992;1,11512321136844e-64;"Bcells";"Rpl17";"Upregulated_yMB"
"Rpl9";2,29544390933542e-68;-0,324650351876177;0,98;0,991;4,6850010189536e-64;"Bcells";"Rpl9";"Upregulated_yMB"
"Malat1";7,32866338909889e-66;-0,227589713505216;0,999;0,998;1,49578019771508e-61;"Bcells";"Malat1";"Upregulated_yMB"
"Rpl19";3,33789475547672e-65;-0,290573516654669;0,987;0,994;6,81264319592798e-61;"Bcells";"Rpl19";"Upregulated_yMB"
"Rpl12";4,13059083853403e-65;-0,319221981635113;0,978;0,994;8,43053590144796e-61;"Bcells";"Rpl12";"Upregulated_yMB"
"Rps5";5,32009660064312e-65;-0,305994932198402;0,98;0,993;1,08583171619126e-60;"Bcells";"Rps5";"Upregulated_yMB"
"Rpl36";2,7069503166139e-62;-0,319475010427194;0,971;0,989;5,52488559620897e-58;"Bcells";"Rpl36";"Upregulated_yMB"
