;Cluster;cluster;signal;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GENEID
4;Bcells.Downregulated_yMB;Bcells;Downregulated_yMB;GO:0042742;defense response to bacterium;31/275;430/28891;2,45E-18;2,20E-15;1,44E-15;219033/11847/12010/12491/23855/68009/66298/382059/503491/626708/13237/13239/12945/14964/14972/15013/110557/15018/60440/16069/16855/70163/17110/17393/17476/101613/231507/66824/18489/19695/69036;31;Ang4,Arg2,B2m,Cd36,Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa3,Defa5,Dmbt1,H2-D1,H2-K1,H2-Q2,H2-Q6,H2-Q7,Iigp1,Jchain,Lgals4,Lypd8,Lyz1,Mmp7,Mpeg1,Nlrp6,Plac8,Pycard,Reg3b,Reg3g,Zg16
9;Bcells.Downregulated_yMB;Bcells;Downregulated_yMB;GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide;16/275;151/28891;1,43E-12;5,31E-10;3,48E-10;219033/12010/20300/23855/68009/66298/382059/503491/626708/13237/13239/12945/16855/17393/18489/19695;16;Ang4,B2m,Ccl25,Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa3,Defa5,Dmbt1,Lgals4,Mmp7,Reg3b,Reg3g
13;Bcells.Downregulated_yMB;Bcells;Downregulated_yMB;GO:0140975;disruption of cellular anatomical structure in another organism;10/275;47/28891;1,97E-11;5,45E-09;3,57E-09;23855/68009/66298/382059/503491/626708/13237/13239/18489/19695;10;Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa3,Defa5,Reg3b,Reg3g
18;Bcells.Downregulated_yMB;Bcells;Downregulated_yMB;GO:0061041;regulation of wound healing;13/275;128/28891;3,17E-10;6,34E-08;4,15E-08;11465/12306/12491/12739/214593/15200/107589/19695/20496/67996/20443/216350/22349;13;Actg1,Anxa2,Cd36,Cldn3,Duox2,Hbegf,Mylk,Reg3g,Slc12a2,Srsf6,St3gal4,Tspan8,Vil1
24;Bcells.Downregulated_yMB;Bcells;Downregulated_yMB;GO:0002385;mucosal immune response;10/275;83/28891;6,84E-09;1,03E-06;6,73E-07;11808/23855/68009/66298/382059/503491/626708/13237/13239/18703;10;Apoa4,Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa3,Defa5,Pigr
925;Bcells.Upregulated_yMB;Bcells;Upregulated_yMB;GO:0002181;cytoplasmic translation;65/531;148/28891;5,68E-73;2,37E-69;1,79E-69;72162/98221/14109/66244/19896/67025/269261/270106/22121/67115/66480/319195/19899/76808/19921/19933/19934/68028/65019/68193/19941/19942/26451/19943/19944/19946/114641/19951/68436/57808/54217/19982/67671/67248/67891/100503670/19988/19989/27176/26961/20005/11837/67097/27207/68052/267019/20055/20084/20085/16898/67427/66481/66475/20088/75617/78294/54127/20090/27050/20091/20102/20103/20104/20115/22186;65;Dhx36,Eif3m,Fau,Nemf,Rpl10a,Rpl11,Rpl12,Rpl13,Rpl13a,Rpl14,Rpl15,Rpl17,Rpl18,Rpl18a,Rpl19,Rpl21,Rpl22,Rpl22l1,Rpl23,Rpl24,Rpl26,Rpl27,Rpl27a,Rpl28,Rpl29,Rpl30,Rpl31,Rpl32,Rpl34,Rpl35a,Rpl36,Rpl36a,Rpl38,Rpl39,Rpl4,Rpl5,Rpl6,Rpl7,Rpl7a,Rpl8,Rpl9,Rplp0,Rps10,Rps11,Rps13,Rps15a,Rps16,Rps18,Rps19,Rps2,Rps20,Rps21,Rps23,Rps24,Rps25,Rps27a,Rps28,Rps29,Rps3,Rps3a1,Rps4x,Rps5,Rps6,Rps7,Uba52
930;Bcells.Upregulated_yMB;Bcells;Upregulated_yMB;GO:0042254;ribosome biogenesis;45/531;322/28891;2,78E-26;1,93E-23;1,47E-23;192119/69639/14109/217995/100019/67973/18432/66181/75416/55989/67239/110954/19896/67025/67115/68193/19941/19942/66489/57808/67671/100503670/19988/19989/27176/11837/27207/68052/267019/20055/20085/66481/66475/20088/75617/57294/100043813/54127/20091/20103/20104/20115/101867/20935/103573;45;Dicer1,Exosc8,Fau,Heatr1,Mdn1,Mphosph10,Mybbp1a,Nop10,Nop14,Nop58,Rpf2,Rpl10,Rpl10a,Rpl11,Rpl14,Rpl24,Rpl26,Rpl27,Rpl35,Rpl35a,Rpl38,Rpl5,Rpl6,Rpl7,Rpl7a,Rplp0,Rps11,Rps13,Rps15a,Rps16,Rps19,Rps21,Rps23,Rps24,Rps25,Rps27,Rps27rt,Rps28,Rps3a1,Rps5,Rps6,Rps7,Rrp8,Surf6,Xpo1
933;Bcells.Upregulated_yMB;Bcells;Upregulated_yMB;GO:0022618;protein-RNA complex assembly;25/531;175/28891;2,29E-15;1,06E-12;8,03E-13;192119/14109/69731/50783/100019/68879/192159/67239/110954/67025/22121/68193/67671/100503670/19988/11837/20085/75617/57294/54127/20103/20104/72193/20641/68011;25;Dicer1,Fau,Gemin7,Lsm4,Mdn1,Prpf6,Prpf8,Rpf2,Rpl10,Rpl11,Rpl13a,Rpl24,Rpl38,Rpl5,Rpl6,Rplp0,Rps19,Rps25,Rps27,Rps28,Rps5,Rps6,Scaf11,Snrpd1,Snrpg
935;Bcells.Upregulated_yMB;Bcells;Upregulated_yMB;GO:0016072;rRNA metabolic process;29/531;252/28891;4,52E-15;1,71E-12;1,30E-12;192119/69639/217995/67973/66181/75416/67239/19896/67025/67115/19941/19942/66489/57808/100503670/19989/27176/20055/20085/66481/20088/75617/57294/100043813/54127/20104/20115/101867/319885;29;Dicer1,Exosc8,Heatr1,Mphosph10,Nop10,Nop14,Rpf2,Rpl10a,Rpl11,Rpl14,Rpl26,Rpl27,Rpl35,Rpl35a,Rpl5,Rpl7,Rpl7a,Rps16,Rps19,Rps21,Rps24,Rps25,Rps27,Rps27rt,Rps28,Rps6,Rps7,Rrp8,Zcchc7
938;Bcells.Upregulated_yMB;Bcells;Upregulated_yMB;GO:0030098;lymphocyte differentiation;38/531;486/28891;8,18E-14;2,44E-11;1,85E-11;11461/11776/11789/12229/16149/12518/227525/192119/94176/317757/110168/321019/56310/14960/14961/14998/15361/15289/22780/16186/16331/17068/17095/240354/105855/65113/18771/19229/19271/11848/74734/19934/20104/12394/20230/20848/20849/67596;38;Actb,Ap3d1,Apc,Btk,Cd74,Cd79a,Dclre1c,Dicer1,Dock2,Gimap5,Gpr18,Gpr183,Gps2,H2-Aa,H2-Ab1,H2-DMa,Hmga1,Hmgb1,Ikzf3,Il2rg,Inpp5d,Ly6d,Lyl1,Malt1,Nckap1l,Ndfip1,Pknox1,Ptk2b,Ptprj,Rhoa,Rhoh,Rpl22,Rps6,Runx1,Satb1,Stat3,Stat4,Tespa1
