"";"Cluster";"signal";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count";"GENEID"
"1";"Downregulated in yMB";"Downregulated in yMB";"GO:0022613";"ribonucleoprotein complex biogenesis";"19/208";"442/28905";0,0429864253393665;5,97366646362687;8,97097918697874;5,98949982421754e-10;4,86413117446954e-07;4,38900919121292e-07;"55944/72047/73736/78581/67014/69241/66362/74097/67276/66583/118451/30946/192119/67936/66405/67671/66229/100038991/20643";19;"Eif3d,Ddx42,Fcf1,Utp23,Riox2,Polr2d,Exosc3,Pop7,Eri1,Exosc1,Mrps2,Abt1,Dicer1,Wdr55,Mcts2,Rpl38,Rpl7l1,Rpl35rt,Snrpe"
"2";"Downregulated in yMB";"Downregulated in yMB";"GO:0008380";"RNA splicing";"19/208";"455/28905";0,0417582417582418;5,80299027895182;8,79161504415657;9,68480430704676e-10;4,86413117446954e-07;4,38900919121292e-07;"15388/72047/238831/22380/192170/74255/76167/209416/19654/67678/19826/76938/60365/98758/15381/230596/70052/66585/20643";19;"Hnrnpl,Ddx42,Ppwd1,Wbp4,Eif4a3,Smu1,Snrnp35,Gpkow,Rbm6,Lsm3,Rnps1,Rbm17,Rbm8a,Hnrnpf,Hnrnpc,Prpf38a,Prpf4,Snrnp40,Snrpe"
"3";"Downregulated in yMB";"Downregulated in yMB";"GO:0000375";"RNA splicing, via transesterification reactions";"16/208";"310/28905";0,0516129032258065;7,17245657568238;9,30221199294687;1,06203737433833e-09;4,86413117446954e-07;4,38900919121292e-07;"15388/72047/22380/192170/74255/76167/209416/19654/67678/19826/76938/60365/15381/230596/70052/20643";16;"Hnrnpl,Ddx42,Wbp4,Eif4a3,Smu1,Snrnp35,Gpkow,Rbm6,Lsm3,Rnps1,Rbm17,Rbm8a,Hnrnpc,Prpf38a,Prpf4,Snrpe"
"4";"Downregulated in yMB";"Downregulated in yMB";"GO:0000377";"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile";"16/208";"310/28905";0,0516129032258065;7,17245657568238;9,30221199294687;1,06203737433833e-09;4,86413117446954e-07;4,38900919121292e-07;"15388/72047/22380/192170/74255/76167/209416/19654/67678/19826/76938/60365/15381/230596/70052/20643";16;"Hnrnpl,Ddx42,Wbp4,Eif4a3,Smu1,Snrnp35,Gpkow,Rbm6,Lsm3,Rnps1,Rbm17,Rbm8a,Hnrnpc,Prpf38a,Prpf4,Snrpe"
"5";"Downregulated in yMB";"Downregulated in yMB";"GO:0000398";"mRNA splicing, via spliceosome";"16/208";"310/28905";0,0516129032258065;7,17245657568238;9,30221199294687;1,06203737433833e-09;4,86413117446954e-07;4,38900919121292e-07;"15388/72047/22380/192170/74255/76167/209416/19654/67678/19826/76938/60365/15381/230596/70052/20643";16;"Hnrnpl,Ddx42,Wbp4,Eif4a3,Smu1,Snrnp35,Gpkow,Rbm6,Lsm3,Rnps1,Rbm17,Rbm8a,Hnrnpc,Prpf38a,Prpf4,Snrpe"
"6";"Downregulated in yMB";"Downregulated in yMB";"GO:0042254";"ribosome biogenesis";"14/208";"320/28905";0,04375;6,07977764423077;7,77934417831076;9,48558794344762e-08;3,62033273174918e-05;3,2667033566645e-05;"73736/78581/67014/66362/74097/67276/66583/118451/30946/192119/67936/67671/66229/100038991";14;"Fcf1,Utp23,Riox2,Exosc3,Pop7,Eri1,Exosc1,Mrps2,Abt1,Dicer1,Wdr55,Rpl38,Rpl7l1,Rpl35rt"
"7";"Downregulated in yMB";"Downregulated in yMB";"GO:0016072";"rRNA metabolic process";"12/208";"256/28905";0,046875;6,51404747596154;7,54445969799236;3,85082316339445e-07;0,000125976929202475;0,000113671667214185;"73736/78581/66362/74097/67276/66583/30946/192119/67936/66229/21969/100038991";12;"Fcf1,Utp23,Exosc3,Pop7,Eri1,Exosc1,Abt1,Dicer1,Wdr55,Rpl7l1,Top1,Rpl35rt"
"8";"Downregulated in yMB";"Downregulated in yMB";"GO:0006364";"rRNA processing";"11/208";"216/28905";0,0509259259259259;7,07698985042735;7,63220583100853;5,24930150306255e-07;0,000150261255525165;0,000135583932243576;"73736/78581/66362/74097/67276/66583/30946/192119/67936/66229/100038991";11;"Fcf1,Utp23,Exosc3,Pop7,Eri1,Exosc1,Abt1,Dicer1,Wdr55,Rpl7l1,Rpl35rt"
"9";"Downregulated in yMB";"Downregulated in yMB";"GO:0034470";"ncRNA processing";"13/208";"411/28905";0,0316301703163017;4,39552919708029;5,90260964352512;9,85637667373397e-06;0,00227847158639257;0,0020559134562577;"54351/73736/78581/66362/74097/67276/66583/30946/192119/67936/68736/66229/100038991";13;"Elp5,Fcf1,Utp23,Exosc3,Pop7,Eri1,Exosc1,Abt1,Dicer1,Wdr55,Tyw5,Rpl7l1,Rpl35rt"
"10";"Downregulated in yMB";"Downregulated in yMB";"GO:0006605";"protein targeting";"11/208";"293/28905";0,037542662116041;5,21716657915463;6,17693243579233;9,94965758250032e-06;0,00227847158639257;0,0020559134562577;"27643/54401/140740/22627/66865/30059/68268/66169/66624/76687/21854";11;"Ubl4a,Ywhab,Sec63,Ywhae,Pmpca,Timm10,Zdhhc21,Tomm7,Spcs2,Spcs3,Timm17a"
"11";"Downregulated in yMB";"Downregulated in yMB";"GO:0008299";"isoprenoid biosynthetic process";"5/208";"41/28905";0,121951219512195;16,9471153846154;8,69937795863958;1,11615346288896e-05;0,00232362857274156;0,00209665956713017;"67422/52014/16987/319554/208715";5;"Dhdds,Nus1,Lss,Idi1,Hmgcs1"
"12";"Downregulated in yMB";"Downregulated in yMB";"GO:0034976";"response to endoplasmic reticulum stress";"10/208";"263/28905";0,0380228136882129;5,2838914887394;5,9416499035066;2,27150982326203e-05;0,00433479791272504;0,00391138051145909;"22027/71853/72736/14827/28146/53323/13666/320011/18023/26408";10;"Hsp90b1,Pdia6,Tmx1,Pdia3,Serp1,Ube2k,Eif2ak3,Uggt1,Nfe2l1,Map3k5"
"13";"Downregulated in yMB";"Downregulated in yMB";"GO:0000466";"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"4/208";"24/28905";0,166666666666667;23,1610576923077;9,24660668558752;2,47248738878414e-05;0,00435538163101206;0,00392995363901479;"73736/66362/67276/30946";4;"Fcf1,Exosc3,Eri1,Abt1"
"14";"Downregulated in yMB";"Downregulated in yMB";"GO:0140053";"mitochondrial gene expression";"8/208";"167/28905";0,0479041916167665;6,65707047443574;6,24185890490623;2,99113823910546e-05;0,00489264754825107;0,00441474012283008;"76784/66419/353172/67308/170826/66047/118451/64659";8;"Mtif2,Mrpl11,Gars1,Mrpl46,Ppargc1b,Mrpl54,Mrps2,Mrps14"
"15";"Downregulated in yMB";"Downregulated in yMB";"GO:0006413";"translational initiation";"7/208";"126/28905";0,0555555555555556;7,72035256410256;6,43623471611426;3,69806017651463e-05;0,00564570520281234;0,00509424008877069;"55944/76784/13667/56726/13666/66405/53356";7;"Eif3d,Mtif2,Eif2b4,Sh3bgrl,Eif2ak3,Mcts2,Eif3g"
"16";"Downregulated in yMB";"Downregulated in yMB";"GO:0032543";"mitochondrial translation";"7/208";"130/28905";0,0538461538461538;7,48280325443787;6,30694791382271;4,51625897700224e-05;0,00646389566083446;0,0058325107709575;"76784/66419/353172/67308/66047/118451/64659";7;"Mtif2,Mrpl11,Gars1,Mrpl46,Mrpl54,Mrps2,Mrps14"
"17";"Downregulated in yMB";"Downregulated in yMB";"GO:0022618";"protein-RNA complex assembly";"8/208";"179/28905";0,0446927374301676;6,21078642028363;5,95366786256509;4,89870787737148e-05;0,00659884767010629;0,00595428084413635;"55944/72047/69241/30946/192119/66405/67671/20643";8;"Eif3d,Ddx42,Polr2d,Abt1,Dicer1,Mcts2,Rpl38,Snrpe"
"18";"Downregulated in yMB";"Downregulated in yMB";"GO:0071826";"protein-RNA complex organization";"8/208";"189/28905";0,0423280423280423;5,88217338217338;5,73290204453413;7,17964653757304e-05;0,00913410587280126;0,00824189833523736;"55944/72047/69241/30946/192119/66405/67671/20643";8;"Eif3d,Ddx42,Polr2d,Abt1,Dicer1,Mcts2,Rpl38,Snrpe"
"19";"Downregulated in yMB";"Downregulated in yMB";"GO:1903311";"regulation of mRNA metabolic process";"10/208";"310/28905";0,032258064516129;4,48278535980149;5,24873805843236;9,0231153796047e-05;0,0103629626742747;0,00935072200855032;"15388/15384/192170/66362/66899/19826/60365/234069/192119/15381";10;"Hnrnpl,Hnrnpab,Eif4a3,Exosc3,Fip1l1,Rnps1,Rbm8a,Pcid2,Dicer1,Hnrnpc"
"20";"Downregulated in yMB";"Downregulated in yMB";"GO:0002183";"cytoplasmic translational initiation";"4/208";"33/28905";0,121212121212121;16,8444055944056;7,75330519463976;9,05062242294733e-05;0,0103629626742747;0,00935072200855032;"55944/13667/56726/66405";4;"Eif3d,Eif2b4,Sh3bgrl,Mcts2"
"21";"Downregulated in yMB";"Downregulated in yMB";"GO:0006487";"protein N-linked glycosylation";"5/208";"65/28905";0,0769230769230769;10,6897189349112;6,65828871593615;0,000106958269269955;0,0116635446013427;0,0105242647908232;"67422/67569/52014/103963/320011";5;"Dhdds,Mgat4c,Nus1,Rpn1,Uggt1"
"22";"Downregulated in yMB";"Downregulated in yMB";"GO:0000460";"maturation of 5.8S rRNA";"4/208";"35/28905";0,114285714285714;15,8818681318681;7,49998638620596;0,000114512967246831;0,0119197588634202;0,010755452378255;"73736/66362/67276/30946";4;"Fcf1,Exosc3,Eri1,Abt1"
